episode,start_tick,reward,success_rate,lost,critical_lost,relocations,preemptive,sla,protected,energy,infeasible,source_artifact
168,358,-11.6964,0.65,14,5,82,82,0,13,2057.06,0,python-ai/saved_models/marl/mappo_history.csv
169,213,-14.2594,0.65,13,6,86,85,2,6,2042.01,2,python-ai/saved_models/marl/mappo_history.csv
170,201,6.0379,0.725,11,6,81,81,0,4,2012.67,0,python-ai/saved_models/marl/mappo_history.csv
171,472,-11.4816,0.625,12,7,83,79,2,5,1948.8,1,python-ai/saved_models/marl/mappo_history.csv
172,66,13.457,0.725,9,4,90,90,1,14,2178.51,1,python-ai/saved_models/marl/mappo_history.csv
173,38,40.2031,0.8,6,2,86,86,3,15,2301.24,1,python-ai/saved_models/marl/mappo_history.csv
174,421,16.0272,0.75,10,5,78,76,3,10,2136.43,0,python-ai/saved_models/marl/mappo_history.csv
175,485,-19.3552,0.625,15,6,75,75,0,5,1990.66,2,python-ai/saved_models/marl/mappo_history.csv
176,267,-10.5219,0.675,13,8,87,86,0,4,1951.81,2,python-ai/saved_models/marl/mappo_history.csv
177,165,12.8488,0.725,9,4,82,82,1,10,2083.77,1,python-ai/saved_models/marl/mappo_history.csv
178,422,-31.7668,0.575,16,5,80,78,1,4,1858.25,1,python-ai/saved_models/marl/mappo_history.csv
179,104,-10.5252,0.675,13,6,84,84,1,11,1931.8,2,python-ai/saved_models/marl/mappo_history.csv
180,317,-8.7428,0.65,13,4,80,80,1,8,2074.68,1,python-ai/saved_models/marl/mappo_history.csv
181,303,4.5673,0.7,12,3,88,87,1,9,2261.02,2,python-ai/saved_models/marl/mappo_history.csv
182,190,11.7279,0.7,9,4,84,84,4,7,2197.96,0,python-ai/saved_models/marl/mappo_history.csv
183,39,36.8663,0.8,7,2,83,83,1,18,2227.38,2,python-ai/saved_models/marl/mappo_history.csv
184,190,-4.0071,0.675,11,6,93,92,2,10,2088.47,1,python-ai/saved_models/marl/mappo_history.csv
185,194,12.5409,0.725,10,5,81,81,0,6,2202.34,1,python-ai/saved_models/marl/mappo_history.csv
186,163,28.6962,0.775,8,2,86,86,2,15,2226.24,0,python-ai/saved_models/marl/mappo_history.csv
187,159,41.6768,0.8,6,0,82,80,4,11,2266.88,1,python-ai/saved_models/marl/mappo_history.csv
188,279,14.8213,0.75,10,3,87,87,2,11,2283.07,4,python-ai/saved_models/marl/mappo_history.csv
189,417,-31.0842,0.6,16,8,76,76,1,5,1835.91,0,python-ai/saved_models/marl/mappo_history.csv
190,33,29.519,0.75,7,2,82,82,4,7,2219.01,1,python-ai/saved_models/marl/mappo_history.csv
191,438,24.0068,0.775,9,3,81,77,1,13,2114.73,0,python-ai/saved_models/marl/mappo_history.csv
192,313,-25.1497,0.625,15,6,90,90,0,7,1954.13,2,python-ai/saved_models/marl/mappo_history.csv
193,485,-7.0483,0.65,12,6,84,83,3,3,1970.77,5,python-ai/saved_models/marl/mappo_history.csv
194,42,37.4369,0.8,6,1,87,86,3,10,2310.08,0,python-ai/saved_models/marl/mappo_history.csv
195,64,33.7641,0.8,7,1,89,89,3,13,2274.41,1,python-ai/saved_models/marl/mappo_history.csv
196,369,-7.5799,0.675,13,4,84,83,1,11,2124.19,0,python-ai/saved_models/marl/mappo_history.csv
197,178,4.6911,0.725,10,7,93,93,2,9,2150.87,1,python-ai/saved_models/marl/mappo_history.csv
