update,episode,checkpoint,checkpoint_md5,lr_scale,state_set,n_decision,n_highrisk,n_lowrisk,delta_edge,p_edge_high_risk,p_edge_low_risk,greedy_edge_high_risk,greedy_edge_low_risk,stochastic_entropy_high_risk,stochastic_entropy_all_decision,max_probability_all_decision,fraction_max_probability_gt_099_all_decision,source_artifact
27,216,R2_trajectory_u027.pth,4d5206fa6aee192d3f44bcfc9bea01e4,0.6533333333333333,UNION,74237,3592,70621,0.12854680001896968,0.30193234377566314,0.17338554375669346,0.15423162583518932,0.12492034947112049,0.5560996753638159,0.3545062574654473,0.8473878053460449,0.14573595376968357,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
28,224,R2_trajectory_u028.pth,28267005e9259140f94bb6827396e0b8,0.64,RANDOM,4975,216,4757,0.15360835961209113,0.29591164014494065,0.14230328053284952,0.10648148148148148,0.08093336136220307,0.6745802412227201,0.4427948590631755,0.811625876947863,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
28,224,R2_trajectory_u028.pth,28267005e9259140f94bb6827396e0b8,0.64,UNION,74237,3592,70621,0.12883025100984768,0.30258741363089503,0.17375716262104735,0.15423162583518932,0.12492034947112049,0.559537989540317,0.35758309460911564,0.8416111988787145,0.14573595376968357,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
29,232,R2_trajectory_u029.pth,8e1ac2914ca62f6a82d1829975395c61,0.6266666666666667,RANDOM,4975,216,4757,0.15239043866627974,0.29471917914688,0.14232874048060026,0.10648148148148148,0.08093336136220307,0.6747023966324742,0.44760076703696616,0.8093469681332459,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
29,232,R2_trajectory_u029.pth,8e1ac2914ca62f6a82d1829975395c61,0.6266666666666667,UNION,74237,3592,70621,0.13385841261813303,0.30914937789792524,0.1752909652797922,0.15423162583518932,0.12492034947112049,0.5685746588295233,0.3594394303841346,0.8393506729980336,0.14573595376968357,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
30,240,R2_trajectory_u030.pth,37fcdc72ebc6316d85c238e2bcc80830,0.6133333333333333,RANDOM,4975,216,4757,0.1350094086854826,0.2714304269670888,0.1364210182816062,0.10648148148148148,0.08093336136220307,0.6522097748352922,0.4433875716074273,0.8108217395430234,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
30,240,R2_trajectory_u030.pth,37fcdc72ebc6316d85c238e2bcc80830,0.6133333333333333,UNION,74237,3592,70621,0.13889509280799964,0.31020674275781807,0.17131164994981843,0.15423162583518932,0.12492034947112049,0.5731475126755826,0.3560282411019502,0.8420163753537321,0.14573595376968357,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
31,248,R2_trajectory_u031.pth,fa8f30e30338747f1fb761f257f04dd5,0.6,RANDOM,4975,216,4757,0.139104547435343,0.2792191465241895,0.1401145990888465,0.10648148148148148,0.08093336136220307,0.6334476851091124,0.4243185001668917,0.8255154301173723,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
31,248,R2_trajectory_u031.pth,fa8f30e30338747f1fb761f257f04dd5,0.6,UNION,74237,3592,70621,0.14658969991251547,0.32082146947012324,0.17423176955760777,0.15423162583518932,0.12492034947112049,0.5627911953177059,0.3470797273031192,0.851550630695699,0.14573595376968357,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
32,256,R2_trajectory_u032.pth,3bf342b8774b7532bc89776a1e5a15d0,0.5866666666666667,RANDOM,4975,216,4757,0.12324608293846681,0.26199483847961313,0.13874875554114632,0.1111111111111111,0.08093336136220307,0.5972012814470857,0.42336069055890396,0.8235703736693416,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
32,256,R2_trajectory_u032.pth,3bf342b8774b7532bc89776a1e5a15d0,0.5866666666666667,UNION,74237,3592,70621,0.14072444440923296,0.3194430290265937,0.17871858461736076,0.15423162583518932,0.12492034947112049,0.540330914513727,0.34839277145397973,0.8506294061809958,0.14573595376968357,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
33,264,R2_trajectory_u033.pth,44d758b8c4df6be02b1a9f65d2e6677c,0.5733333333333333,RANDOM,4975,216,4757,0.14251238502698682,0.28755889766088566,0.14504651263389884,0.11574074074074074,0.08114357788522178,0.6325477811346376,0.4354201923933706,0.812181192091362,0.13809045226130653,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
33,264,R2_trajectory_u033.pth,44d758b8c4df6be02b1a9f65d2e6677c,0.5733333333333333,UNION,74237,3592,70621,0.15809952848900674,0.33810293262763225,0.1800034041386255,0.15423162583518932,0.12492034947112049,0.561495842835044,0.34663315677824574,0.8484558977645034,0.2774627207457198,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
34,272,R2_trajectory_u034.pth,dc2c68d0af51dda0c31c9238407ca05f,0.56,RANDOM,4975,216,4757,0.12971890270934672,0.2653134988623033,0.1355945961529566,0.10648148148148148,0.08093336136220307,0.6266146365677843,0.42037046428977093,0.8249851140844163,0.08281407035175879,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
34,272,R2_trajectory_u034.pth,dc2c68d0af51dda0c31c9238407ca05f,0.56,UNION,74237,3592,70621,0.14586357300193378,0.31372446705186496,0.16786089404993118,0.15423162583518932,0.12492034947112049,0.561181968428214,0.33543163984058344,0.858217310655033,0.14573595376968357,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
