update,state_set,action,high_minus_low_probability,source_artifact
24,RANDOM,STAY,0.001300586484396904,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
24,RANDOM,MIGRATE_EDGE,0.11734038381380285,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
24,RANDOM,MIGRATE_CLOUD,-0.11746253272376786,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
24,RANDOM,PREEMPT_REROUTE,-0.0011784371011317816,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
24,UNION,STAY,-0.11140321468808556,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
24,UNION,MIGRATE_EDGE,0.13447626315323208,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
24,UNION,MIGRATE_CLOUD,-0.022914290083844324,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
24,UNION,PREEMPT_REROUTE,-0.00015875802636847072,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,RANDOM,STAY,-0.005581172687860847,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,RANDOM,MIGRATE_EDGE,0.12764640127918966,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,RANDOM,MIGRATE_CLOUD,-0.12103355151412298,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,RANDOM,PREEMPT_REROUTE,-0.0010316767767995802,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,UNION,STAY,-0.12035297119227084,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,UNION,MIGRATE_EDGE,0.14361571360557035,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,UNION,MIGRATE_CLOUD,-0.02312375666479906,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
25,UNION,PREEMPT_REROUTE,-0.00013898660249035282,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
26,RANDOM,STAY,-0.01106269861075948,python-ai/saved_models/marl/SPRINT_7_PHASE5_risk_trajectory_main.json
