time,nodeId,cpu,ram,bandwidth,energy,runningTasks,active,degraded,linkUp,linkBandwidthMbps,linkLatencyMs,linkPacketLoss,underAttack,willFailSoon
45.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
45.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
46.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
46.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
46.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
47.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
47.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
47.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
48.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
48.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
48.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
49.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
49.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
49.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
50.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
50.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
50.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
51.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
51.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
51.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
52.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
52.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
52.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
53.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
53.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
53.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
54.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
54.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
54.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
55.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
55.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
55.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
56.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
56.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
56.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
57.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
57.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
57.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
58.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
58.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
58.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
59.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
59.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
59.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
60.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
60.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
60.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
61.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
61.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
61.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
62.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
62.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
62.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
63.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
63.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
63.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
64.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
64.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
64.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
65.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
65.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
65.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
66.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
66.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
66.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
67.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
67.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
67.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
68.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
68.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
68.10,2,50.0000,25.0000,2.0000,0.0000,2,0,0,1,100.0000,10.0000,0.0000,0,0
69.10,0,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
69.10,1,50.0000,25.0000,2.0000,0.0000,2,0,0,0,0.0000,9999.0000,100.0000,0,0
