nodeId,time,predicted_failure_risk,prediction_uncertainty
1,62.100000,0.080386,0.000000
2,62.100000,0.014523,0.000000
3,62.100000,0.042553,0.000000
4,62.100000,0.059833,0.000000
5,62.100000,0.049283,0.000000
6,62.100000,0.059839,0.000000
7,62.100000,0.080385,0.000000
8,62.100000,0.080385,0.000000
9,62.100000,0.080386,0.000000
0,63.100000,0.059839,0.000000
1,63.100000,0.080385,0.000000
2,63.100000,0.014524,0.000000
3,63.100000,0.042553,0.000000
4,63.100000,0.059834,0.000000
5,63.100000,0.049281,0.000000
6,63.100000,0.059839,0.000000
7,63.100000,0.080386,0.000000
8,63.100000,0.080386,0.000000
9,63.100000,0.080386,0.000000
0,64.100000,0.059839,0.000000
1,64.100000,0.080386,0.000000
2,64.100000,0.014524,0.000000
3,64.100000,0.042553,0.000000
4,64.100000,0.059833,0.000000
5,64.100000,0.049276,0.000000
6,64.100000,0.059839,0.000000
7,64.100000,0.080386,0.000000
8,64.100000,0.080386,0.000000
9,64.100000,0.080386,0.000000
0,65.100000,0.059839,0.000000
1,65.100000,0.080386,0.000000
2,65.100000,0.014525,0.000000
3,65.100000,0.042553,0.000000
4,65.100000,0.059833,0.000000
5,65.100000,0.049279,0.000000
6,65.100000,0.059839,0.000000
7,65.100000,0.080385,0.000000
8,65.100000,0.080386,0.000000
9,65.100000,0.080386,0.000000
0,66.100000,0.059839,0.000000
1,66.100000,0.080386,0.000000
2,66.100000,0.014526,0.000000
3,66.100000,0.042553,0.000000
4,66.100000,0.059833,0.000000
5,66.100000,0.049291,0.000000
6,66.100000,0.059839,0.000000
7,66.100000,0.080385,0.000000
8,66.100000,0.080386,0.000000
9,66.100000,0.080386,0.000000
0,67.100000,0.059839,0.000000
1,67.100000,0.080385,0.000000
2,67.100000,0.014527,0.000000
3,67.100000,0.042553,0.000000
4,67.100000,0.059833,0.000000
5,67.100000,0.049282,0.000000
6,67.100000,0.059839,0.000000
7,67.100000,0.080386,0.000000
8,67.100000,0.080385,0.000000
9,67.100000,0.080385,0.000000
0,68.100000,0.059839,0.000000
1,68.100000,0.080386,0.000000
2,68.100000,0.014528,0.000000
3,68.100000,0.042553,0.000000
4,68.100000,0.059833,0.000000
5,68.100000,0.049269,0.000000
6,68.100000,0.059839,0.000000
7,68.100000,0.080386,0.000000
8,68.100000,0.080386,0.000000
9,68.100000,0.080386,0.000000
0,69.100000,0.059839,0.000000
1,69.100000,0.080386,0.000000
2,69.100000,0.014530,0.000000
3,69.100000,0.042553,0.000000
4,69.100000,0.059833,0.000000
5,69.100000,0.049276,0.000000
6,69.100000,0.059839,0.000000
7,69.100000,0.080386,0.000000
8,69.100000,0.080386,0.000000
9,69.100000,0.080386,0.000000
0,70.100000,0.080368,0.000000
